comparison,control_id,source_stage,target_stage,source_edge_index,source_truth_role,target_edge_indices,target_truth_roles,inferred_relation_kind,relation_kind,candidate_count,truth_correct,history_modified_target_indices,history_generated_target_indices,history_modified_item_count,history_generated_item_count,history_unresolved_item_count,history_removed,history_relation_kind,direct_identity_checked,direct_is_same,direct_is_partner,direct_same_target_indices,direct_partner_target_indices,history_agrees
step_import,asymmetric_prism,constructed,step_imported,1,"edge_0,0,0__0,0,4",1,"edge_0,0,0__0,0,4",one_to_one,one_to_one,1,1,,,,,,,,1,0,0,,,
step_import,asymmetric_prism,constructed,step_imported,2,"edge_7,0,0__7,0,4",3,"edge_7,0,0__7,0,4",one_to_one,one_to_one,1,1,,,,,,,,1,0,0,,,
step_import,asymmetric_prism,constructed,step_imported,3,"edge_0,0,0__7,0,0",4,"edge_0,0,0__7,0,0",one_to_one,one_to_one,1,1,,,,,,,,1,0,0,,,
step_import,asymmetric_prism,constructed,step_imported,4,"edge_0,0,4__7,0,4",2,"edge_0,0,4__7,0,4",one_to_one,one_to_one,1,1,,,,,,,,1,0,0,,,
step_import,asymmetric_prism,constructed,step_imported,5,"edge_6,3,0__6,3,4",6,"edge_6,3,0__6,3,4",one_to_one,one_to_one,1,1,,,,,,,,1,0,0,,,
step_import,asymmetric_prism,constructed,step_imported,6,"edge_6,3,0__7,0,0",7,"edge_6,3,0__7,0,0",one_to_one,one_to_one,1,1,,,,,,,,1,0,0,,,
step_import,asymmetric_prism,constructed,step_imported,7,"edge_6,3,4__7,0,4",5,"edge_6,3,4__7,0,4",one_to_one,one_to_one,1,1,,,,,,,,1,0,0,,,
step_import,asymmetric_prism,constructed,step_imported,8,"edge_2,5,0__2,5,4",9,"edge_2,5,0__2,5,4",one_to_one,one_to_one,1,1,,,,,,,,1,0,0,,,
step_import,asymmetric_prism,constructed,step_imported,9,"edge_2,5,0__6,3,0",10,"edge_2,5,0__6,3,0",one_to_one,one_to_one,1,1,,,,,,,,1,0,0,,,
step_import,asymmetric_prism,constructed,step_imported,10,"edge_2,5,4__6,3,4",8,"edge_2,5,4__6,3,4",one_to_one,one_to_one,1,1,,,,,,,,1,0,0,,,
step_import,asymmetric_prism,constructed,step_imported,11,"edge_0,2,0__0,2,4",12,"edge_0,2,0__0,2,4",one_to_one,one_to_one,1,1,,,,,,,,1,0,0,,,
step_import,asymmetric_prism,constructed,step_imported,12,"edge_0,2,0__2,5,0",13,"edge_0,2,0__2,5,0",one_to_one,one_to_one,1,1,,,,,,,,1,0,0,,,
step_import,asymmetric_prism,constructed,step_imported,13,"edge_0,2,4__2,5,4",11,"edge_0,2,4__2,5,4",one_to_one,one_to_one,1,1,,,,,,,,1,0,0,,,
step_import,asymmetric_prism,constructed,step_imported,14,"edge_0,0,0__0,2,0",15,"edge_0,0,0__0,2,0",one_to_one,one_to_one,1,1,,,,,,,,1,0,0,,,
step_import,asymmetric_prism,constructed,step_imported,15,"edge_0,0,4__0,2,4",14,"edge_0,0,4__0,2,4",one_to_one,one_to_one,1,1,,,,,,,,1,0,0,,,
step_import,reversed_box,constructed,step_imported,1,"edge_0,0,0__0,0,6",1,"edge_0,0,0__0,0,6",one_to_one,one_to_one,1,1,,,,,,,,1,0,0,,,
step_import,reversed_box,constructed,step_imported,2,"edge_0,0,6__0,5,6",4,"edge_0,0,6__0,5,6",one_to_one,one_to_one,1,1,,,,,,,,1,0,0,,,
step_import,reversed_box,constructed,step_imported,3,"edge_0,5,0__0,5,6",3,"edge_0,5,0__0,5,6",one_to_one,one_to_one,1,1,,,,,,,,1,0,0,,,
step_import,reversed_box,constructed,step_imported,4,"edge_0,0,0__0,5,0",2,"edge_0,0,0__0,5,0",one_to_one,one_to_one,1,1,,,,,,,,1,0,0,,,
step_import,reversed_box,constructed,step_imported,5,"edge_4,0,0__4,0,6",5,"edge_4,0,0__4,0,6",one_to_one,one_to_one,1,1,,,,,,,,1,0,0,,,
step_import,reversed_box,constructed,step_imported,6,"edge_4,0,6__4,5,6",8,"edge_4,0,6__4,5,6",one_to_one,one_to_one,1,1,,,,,,,,1,0,0,,,
step_import,reversed_box,constructed,step_imported,7,"edge_4,5,0__4,5,6",7,"edge_4,5,0__4,5,6",one_to_one,one_to_one,1,1,,,,,,,,1,0,0,,,
step_import,reversed_box,constructed,step_imported,8,"edge_4,0,0__4,5,0",6,"edge_4,0,0__4,5,0",one_to_one,one_to_one,1,1,,,,,,,,1,0,0,,,
step_import,reversed_box,constructed,step_imported,9,"edge_0,0,0__4,0,0",9,"edge_0,0,0__4,0,0",one_to_one,one_to_one,1,1,,,,,,,,1,0,0,,,
step_import,reversed_box,constructed,step_imported,10,"edge_0,0,6__4,0,6",10,"edge_0,0,6__4,0,6",one_to_one,one_to_one,1,1,,,,,,,,1,0,0,,,
step_import,reversed_box,constructed,step_imported,11,"edge_0,5,0__4,5,0",11,"edge_0,5,0__4,5,0",one_to_one,one_to_one,1,1,,,,,,,,1,0,0,,,
step_import,reversed_box,constructed,step_imported,12,"edge_0,5,6__4,5,6",12,"edge_0,5,6__4,5,6",one_to_one,one_to_one,1,1,,,,,,,,1,0,0,,,
step_import,split_box,constructed,step_imported,1,"edge_0,0,0__0,0,3",1,"edge_0,0,0__0,0,3",one_to_one,one_to_one,1,1,,,,,,,,1,0,0,,,
step_import,split_box,constructed,step_imported,2,"edge_0,0,3__0,6,3",4,"edge_0,0,3__0,6,3",one_to_one,one_to_one,1,1,,,,,,,,1,0,0,,,
step_import,split_box,constructed,step_imported,3,"edge_0,6,0__0,6,3",3,"edge_0,6,0__0,6,3",one_to_one,one_to_one,1,1,,,,,,,,1,0,0,,,
step_import,split_box,constructed,step_imported,4,"edge_0,0,0__0,6,0",2,"edge_0,0,0__0,6,0",one_to_one,one_to_one,1,1,,,,,,,,1,0,0,,,
step_import,split_box,constructed,step_imported,5,long_y0_z0_left,5,long_y0_z0_left,one_to_one,one_to_one,1,1,,,,,,,,1,0,0,,,
step_import,split_box,constructed,step_imported,6,"seam_4,0,0__4,0,3",7,"seam_4,0,0__4,0,3",one_to_one,one_to_one,1,1,,,,,,,,1,0,0,,,
step_import,split_box,constructed,step_imported,7,long_y0_z3_left,6,long_y0_z3_left,one_to_one,one_to_one,1,1,,,,,,,,1,0,0,,,
step_import,split_box,constructed,step_imported,8,long_y6_z3_left,9,long_y6_z3_left,one_to_one,one_to_one,1,1,,,,,,,,1,0,0,,,
step_import,split_box,constructed,step_imported,9,"seam_4,0,3__4,6,3",8,"seam_4,0,3__4,6,3",one_to_one,one_to_one,1,1,,,,,,,,1,0,0,,,
step_import,split_box,constructed,step_imported,10,long_y6_z0_left,10,long_y6_z0_left,one_to_one,one_to_one,1,1,,,,,,,,1,0,0,,,
step_import,split_box,constructed,step_imported,11,"seam_4,6,0__4,6,3",11,"seam_4,6,0__4,6,3",one_to_one,one_to_one,1,1,,,,,,,,1,0,0,,,
step_import,split_box,constructed,step_imported,12,"seam_4,0,0__4,6,0",12,"seam_4,0,0__4,6,0",one_to_one,one_to_one,1,1,,,,,,,,1,0,0,,,
step_import,split_box,constructed,step_imported,13,long_y0_z0_right,13,long_y0_z0_right,one_to_one,one_to_one,1,1,,,,,,,,1,0,0,,,
step_import,split_box,constructed,step_imported,14,"edge_10,0,0__10,0,3",15,"edge_10,0,0__10,0,3",one_to_one,one_to_one,1,1,,,,,,,,1,0,0,,,
step_import,split_box,constructed,step_imported,15,long_y0_z3_right,14,long_y0_z3_right,one_to_one,one_to_one,1,1,,,,,,,,1,0,0,,,
